t;e;i;d;set
9.669;-392.0;-0.5;-1.0;0
9.672;-393.0;-0.5;-1.0;0
9.675;-394.0;-0.5;-1.0;0
9.678;-394.0;-0.5;-1.0;0
9.681000000000001;-395.0;-0.5;-1.0;0
9.684000000000001;-396.0;-0.5;-1.0;0
9.687000000000001;-396.0;-0.5;-1.0;0
9.690000000000001;-397.0;-0.5;-1.0;0
9.693;-398.0;-0.5;-1.0;0
9.696;-399.0;-0.5;-1.0;0
9.699;-399.0;-0.5;-1.0;0
9.702;-400.0;-0.5;-1.0;0
9.705;399.0;0.5;-1.0;0
9.708;398.0;0.5;-1.0;0
9.711;398.0;0.5;-1.0;0
9.714;397.0;0.5;-1.0;0
9.717;396.0;0.5;-1.0;0
9.72;395.0;0.5;-1.0;0
9.723;395.0;0.5;-1.0;0
9.726;394.0;0.5;-1.0;0
9.729000000000001;393.0;0.5;-1.0;0
9.732000000000001;393.0;0.5;-1.0;0
9.735000000000001;392.0;0.5;-1.0;0
9.738000000000001;391.0;0.5;-1.0;0
9.741;391.0;0.5;-1.0;0
9.744;390.0;0.5;-1.0;0
9.747;389.0;0.5;-1.0;0
9.75;389.0;0.5;-1.0;0
9.753;388.0;0.5;-1.0;0
9.756;388.0;0.5;-1.0;0
9.759;387.0;0.5;-1.0;0
9.762;387.0;0.5;-1.0;0
9.765;386.0;0.5;-1.0;0
9.768;386.0;0.5;0.0;0
9.771;385.0;0.5;0.0;0
9.774000000000001;385.0;0.5;0.0;0
9.777000000000001;385.0;0.5;0.0;0
9.780000000000001;384.0;0.5;0.0;0
9.783000000000001;384.0;0.5;0.0;0
9.786;384.0;0.5;0.0;0
9.789;384.0;0.5;0.0;0
9.792;383.0;0.5;0.0;0
9.795;383.0;0.5;0.0;0
9.798;383.0;0.5;0.0;0
9.801;383.0;0.5;0.0;0
9.804;383.0;0.5;0.0;0
9.807;383.0;0.5;0.0;0
9.81;383.0;0.5;0.0;0
9.813;382.0;0.5;0.0;0
9.816;383.0;0.5;0.0;0
9.819;383.0;0.5;0.0;0
9.822000000000001;383.0;0.5;0.0;0
9.825000000000001;383.0;0.5;0.0;0
9.828000000000001;383.0;0.5;0.0;0
9.831000000000001;383.0;0.5;0.0;0
9.834;383.0;0.5;0.0;0
