tiempo;error;tiempoDev;derivada
72274;-7;234;3
72324;-7;251;3
72374;-7;267;2
72424;-7;284;2
72474;-7;300;2
72524;-7;317;2
72574;-7;334;2
72624;-7;350;2
72674;-7;367;2
72724;-7;384;2
72774;-7;400;2
72824;-7;417;1
72874;-7;434;1
72924;-7;451;1
72974;-7;467;1
73024;-7;484;1
73074;-7;500;1
73124;-7;517;1
73174;-7;534;1
73224;-7;551;1
73274;-7;567;1
73324;-7;584;1
73374;-7;600;1
73424;-7;617;1
73474;-7;634;1
73524;-7;650;1
73574;0;666;1
73624;7;24;29
73674;7;40;17
73724;23;12;66
73774;54;3;233
73824;94;4;200
73874;156;3;266
73924;210;4;200
73974;286;1;800
74024;338;3;233
74074;404;2;350
74124;460;2;350
74174;535;3;200
74224;594;3;233
74274;655;1;600
74324;690;5;120
74374;718;6;100
74424;739;6;83
74474;750;10;60
74524;765;6;83
74574;780;6;83
74624;799;5;100
74674;822;3;133
74724;840;7;71
74774;852;12;33
74824;868;7;57
74874;887;4;100
74924;901;5;60
74974;920;2;150
75024;929;11;27
75074;938;5;60
75124;938;22;13
75174;943;15;20
75224;946;27;11
75274;946;44;6
75324;946;61;4
75374;946;77;3
75424;946;94;3
75474;946;110;2
75524;946;127;2
75574;948;10;20
75624;948;26;7
75674;948;43;4
75724;948;60;3
75774;948;76;2
75824;948;93;2
75874;948;110;1
75924;943;7;-42
75974;904;1;-400
76024;794;1;-1000
76074;575;1;-1900
76124;256;1;-1500
76174;-140;1;-2300
76224;-474;1;-1400
76274;-728;1;-1600
76324;-864;1;-400
76374;-920;4;-150
76424;-923;9;33
76474;-880;1;700
76524;-775;1;1000
76574;-568;1;1300
76624;-256;1;2200
76674;94;1;2400
76724;439;1;2100
76774;690;1;1200
76824;827;1;500
76874;887;2;200
76924;894;16;18
76974;852;1;-400
77024;739;1;-500
77074;529;1;-1300
77124;233;1;-2300
77174;-117;1;-1600
77224;-446;1;-1400
77274;-678;1;-500
77324;-809;1;-500
77374;-868;3;-133
77424;-872;12;33
77474;-813;1;500
77524;-690;1;1100
77574;-481;1;1400
77624;-179;1;2300
77674;156;1;1600
77724;446;1;1400
77774;667;1;1200
77824;794;1;900
77874;840;3;166
77924;835;6;-83
77974;765;1;-500
78024;637;1;-600
78074;397;1;-1400
78124;94;1;-2300
78174;-210;1;-1500
78224;-481;1;-1400
78274;-678;1;-1100
78324;-785;1;-500
78374;-818;7;-71
78424;-799;3;166
78474;-718;1;500
78524;-549;1;600
78574;-309;1;1400
78624;-39;1;1500
78674;256;1;1500
78724;502;1;700
78774;667;2;600
78824;755;2;250
78874;775;12;41
78924;744;2;-300
78974;637;1;-1200
79024;453;1;-1400
79074;218;1;-1500
79124;-70;1;-1600
79174;-346;1;-1500
79224;-549;1;-1400
79274;-678;2;-250
79324;-744;3;-166
79374;-744;4;150
79424;-678;1;1200
79474;-542;1;1300
79524;-360;1;1500
79574;-101;1;1600
79624;171;1;1500
79674;397;1;800
79724;581;1;600
79774;684;2;300
79824;718;6;100
79874;695;3;-200
79924;606;1;-1300
79974;446;1;-1400
80024;241;1;-700
80074;-23;1;-800
80124;-263;1;-1500
80174;-474;1;-1400
80224;-606;1;-600
80274;-678;2;-250
80324;-684;11;54
80374;-631;1;600
80424;-522;1;700
80474;-338;1;1500
80524;-109;1;800
80574;125;1;1600
80624;346;1;800
80674;515;1;600
80724;619;2;350
80774;655;8;75
80824;637;3;-200
80874;562;2;-300
80924;411;1;-700
80974;210;1;-1500
81024;-15;1;-1500
81074;-241;1;-1600
81124;-432;1;-1400
81174;-555;1;-600
81224;-619;3;-233
81274;-625;14;42
81324;-568;1;700
81374;-460;1;700
81424;-294;1;700
81474;-86;1;800
81524;133;1;1600
81574;331;1;800
81624;467;1;700
81674;568;2;300
81724;600;9;66
81774;575;3;-200
81824;488;1;-700
81874;346;1;-700
81924;164;1;-1500
81974;-39;1;-800
82024;-241;1;-1600
82074;-397;1;-800
82124;-509;2;-350
82174;-568;2;-300
82224;-562;16;37
82274;-502;2;350
82324;-389;1;800
82374;-233;1;1500
82424;-39;1;800
82474;164;1;1600
82524;323;1;700
82574;446;1;700
82624;522;4;175
82674;542;10;70
82724;502;2;-350
82774;411;1;-700
82824;278;1;-800
82874;101;1;-1600
82924;-86;1;-800
82974;-263;1;-700
83024;-389;1;-700
83074;-474;2;-350
83124;-509;8;-87
83174;-488;3;233
83224;-425;2;350
83274;-316;1;700
83324;-164;1;700
83374;15;1;800
83424;179;1;1500
83474;323;1;700
83524;418;2;350
83574;474;4;175
83624;474;11;-63
83674;425;3;-233
83724;331;1;-700
83774;195;1;-700
83824;39;1;-800
83874;-125;1;-800
83924;-271;1;-800
83974;-375;2;-350
84024;-439;3;-233
84074;-453;14;-50
84124;-418;2;350
84174;-338;1;800
84224;-225;1;800
84274;-86;1;800
84324;70;2;800
84374;210;1;800
84424;331;1;800
84474;389;3;233
84524;418;10;70
84574;404;4;-175
84624;346;2;-350
84674;241;2;-750
84724;117;3;-533
84774;-23;2;-800
84824;-164;3;-533
84874;-286;1;-800
84924;-360;2;-350
84974;-397;7;-114
85024;-389;6;133
85074;-346;2;350
85124;-263;2;400
85174;-140;1;800
85224;-15;1;800
85274;117;1;800
85324;233;2;400
