tiempo;angulo;integral;derivada
24870;-7;-50;0
24876;-7;-50;0
24882;-8;-50;0
24888;-8;-50;0
24894;-9;-50;0
24900;-9;-50;0
24906;-9;-50;0
24912;-9;-50;0
24918;-9;-50;0
24924;-10;-50;0
24930;-10;-50;0
24936;-10;-50;0
24942;-10;-50;0
24948;-10;-50;0
24954;-10;-50;0
24960;-10;-50;0
24966;-11;-50;0
24972;-11;-50;0
24975;-11;-50;0
24981;-11;-50;0
24987;-10;-50;0
24993;-10;-50;0
24999;-10;-50;0
25005;-10;-50;0
25011;-10;-50;0
25017;-10;-50;0
25023;-10;-50;0
25029;-10;-50;0
25038;-9;-50;0
25044;-9;-50;0
25050;-9;-50;0
25056;-9;-50;0
25062;-9;-50;0
25071;-9;-50;0
25077;-8;-50;0
25083;-8;-50;0
25086;-8;-50;0
25092;-7;-50;0
25104;-7;-50;0
25110;-7;-50;0
25116;-7;-50;0
25119;-7;-50;0
25125;-6;-50;0
25131;-6;-50;0
25137;-5;-50;0
25143;-5;-50;0
25149;-5;-50;0
25155;-5;-50;0
25161;-4;-50;0
25170;-3;-50;0
25176;-3;-50;0
25182;-3;-50;0
25188;-3;-50;0
25194;-2;-50;0
25200;-2;-50;0
25206;-2;-50;0
25212;-1;-50;0
25218;-1;-50;0
25227;-1;-50;0
25239;0;-50;0
25248;1;-36;0
25254;1;-22;0
25260;1;-8;0
25263;1;-1;0
25272;2;36;0
25278;2;50;0
25284;3;50;0
25293;3;50;0
25299;3;50;0
25305;4;50;0
25311;4;50;0
25317;5;50;0
25326;5;50;0
25332;5;50;0
25338;5;50;0
25344;5;50;0
25350;5;50;0
25356;6;50;0
25362;6;50;0
25371;6;50;0
25377;6;50;0
25383;7;50;0
25389;7;50;0
25395;7;50;0
25401;7;50;0
25407;7;50;0
25416;7;50;0
25422;7;50;0
25428;7;50;0
25434;7;50;0
25440;7;50;0
25446;7;50;0
25452;7;50;0
25461;7;50;0
25473;7;50;0
25479;7;50;0
25485;7;50;0
25494;7;50;0
25506;7;50;0
25512;6;50;0
25518;6;50;0
25524;6;50;0
25530;6;50;0
25539;6;50;0
25545;5;50;0
25551;5;50;0
25557;5;50;0
25563;5;50;0
25569;5;50;0
25575;5;50;0
25578;5;50;0
25584;4;50;0
25590;4;50;0
25596;4;50;0
25608;3;50;0
25614;3;50;0
25620;3;50;0
25629;3;50;0
25635;2;50;0
25641;2;50;0
25647;2;50;0
25653;1;50;0
25662;1;50;0
25668;1;50;0
25674;1;50;0
25680;1;50;0
25686;0;50;0
25692;0;50;0
25698;-1;50;0
25704;-1;36;0
25710;-1;22;0
25713;-1;15;0
25719;-1;1;0
25725;-2;-13;0
25731;-2;-43;0
25737;-2;-50;0
25743;-2;-50;0
25749;-2;-50;0
25755;-3;-50;0
25764;-3;-50;0
25770;-3;-50;0
25776;-3;-50;0
25782;-3;-50;0
25791;-3;-50;0
25797;-3;-50;0
25803;-4;-50;0
25809;-4;-50;0
25815;-4;-50;0
25821;-4;-50;0
25827;-4;-50;0
25833;-5;-50;0
25842;-5;-50;0
25848;-5;-50;0
25854;-5;-50;0
25860;-5;-50;0
