tiempo;angulo;tiempoDev;derivada
23268;171;178;1
23274;171;178;1
23280;171;178;1
23286;171;178;1
23292;171;178;1
23301;171;178;1
23307;171;178;1
23313;171;178;1
23319;171;178;1
23325;171;178;1
23331;171;178;1
23337;171;178;1
23346;171;178;1
23352;171;178;1
23358;171;178;1
23364;171;178;1
23370;171;178;1
23379;171;178;1
23385;171;178;1
23391;171;178;1
23397;171;178;1
23403;171;178;1
23409;171;178;1
23415;171;178;1
23421;171;178;1
23427;171;178;1
23433;171;178;1
23439;171;178;1
23448;171;178;1
23454;171;178;1
23460;171;178;1
23469;171;178;1
23475;171;178;1
23481;171;178;1
23487;171;178;1
23493;171;178;1
23505;171;178;1
23508;171;178;1
23514;171;178;1
23520;171;178;1
23526;171;178;1
23532;171;178;1
23538;171;178;1
23541;171;178;1
23547;171;178;1
23553;171;178;1
23559;171;178;1
23565;171;178;1
23571;170;1870;0
23577;170;1870;0
23583;170;1870;0
23589;170;1870;0
23595;170;1870;0
23601;169;29;-6
23607;169;29;-6
23613;169;29;-6
23619;169;29;-6
23628;167;5;-40
23634;166;5;-40
23640;165;3;-66
23646;163;6;-33
23652;161;4;-75
23658;159;4;-50
23664;157;3;-66
23670;155;5;-100
23676;152;1;-300
23682;149;2;-150
23688;146;4;-150
23694;143;3;-133
23700;140;4;-175
23706;137;3;-233
23718;129;3;-266
23724;125;3;-300
23730;121;3;-300
23736;116;3;-500
23742;111;3;-333
23751;104;3;-366
23757;99;2;-550
23763;94;3;-566
23772;86;3;-600
23784;76;3;-633
23790;69;4;-650
23796;63;4;-675
23802;57;2;-1050
23808;51;3;-700
23817;42;4;-550
23823;37;3;-733
23829;30;3;-766
23835;24;3;-766
23841;17;3;-1033
23850;7;3;-1033
23856;1;3;-800
23862;-5;3;-766
23868;-11;3;-766
23874;-18;2;-800
23880;-24;3;-766
23886;-31;3;-766
23892;-37;4;-750
23898;-43;3;-733
23904;-48;3;-733
23910;-54;3;-733
23919;-63;3;-700
23925;-68;4;-525
23931;-74;3;-666
23934;-77;3;-666
23940;-82;3;-633
23946;-87;3;-633
23952;-93;3;-400
23958;-98;3;-566
23964;-103;2;-550
23970;-108;3;-533
23976;-113;3;-333
23982;-117;3;-333
23988;-121;4;-375
23997;-127;3;-300
24003;-130;4;-200
24009;-134;3;-266
24018;-139;3;-233
24021;-141;2;-200
24030;-145;3;-100
24042;-149;1;-300
24048;-151;2;-150
24054;-153;2;-150
24063;-155;3;-100
24069;-157;2;-150
24075;-159;8;-62
24081;-160;5;-60
24087;-161;3;-66
24093;-161;3;-66
24099;-162;14;-14
24105;-162;14;-14
24111;-162;14;-14
24120;-162;14;-14
24126;-162;14;-14
24132;-161;31;6
24135;-161;31;6
24141;-160;10;20
24147;-159;5;60
24153;-157;8;25
24159;-156;3;100
24165;-153;3;100
24171;-151;4;75
24177;-149;4;75
24186;-146;5;120
24192;-143;3;133
24198;-141;4;75
24204;-137;4;175
24210;-133;3;266
24216;-130;4;200
24222;-127;4;200
24231;-122;3;300
24237;-117;2;450
24243;-113;3;300
24249;-109;2;500
24255;-105;3;366
24261;-101;3;333
24267;-95;3;566
24273;-89;3;600
24279;-84;3;600
24285;-79;2;600
24291;-74;4;475
24300;-66;4;500
24303;-63;3;700
24309;-57;3;700
24315;-52;3;700
24321;-47;3;700
24327;-40;2;1100
24333;-34;3;766
24339;-28;3;766
24345;-23;4;575
24351;-17;2;800
24357;-11;3;800
24366;-1;3;1033
24372;5;3;766
24378;10;3;766
24384;16;3;766
24390;22;3;766
24396;29;4;775
24402;35;4;775
24411;43;3;733
24417;48;3;733
24423;53;3;733
24429;59;2;700
24435;64;4;525
24438;67;3;700
24444;73;3;666
24450;79;3;633
24456;84;3;633
24462;88;3;400
24468;92;3;400
24474;97;3;366
24480;101;4;425
24489;108;3;333
24495;112;3;333
24501;116;3;333
24507;119;2;250
24513;123;3;300
24516;125;2;200
24522;127;4;225
24528;130;1;400
24534;133;4;200
24540;136;2;200
24546;139;3;100
24552;141;3;133
24558;143;5;80
24567;145;2;200
24573;147;5;60
24579;148;5;60
24591;150;7;42
24600;151;5;60
24606;152;10;30
24612;152;10;30
24618;153;11;27
24624;152;7;-42
24630;152;7;-42
24636;151;11;-27
24642;151;11;-27
24648;149;11;-27
24657;148;8;-37
24663;146;3;-100
24669;145;3;-100
24675;143;7;-100
24681;141;6;-116
24687;139;6;-116
24693;137;2;-150
24702;133;4;-200
24708;130;5;-160
24714;127;3;-133
24720;124;4;-225
24726;120;3;-300
24732;117;4;-250
24738;113;3;-333
24747;107;3;-333
24753;103;3;-366
24759;99;3;-366
24765;94;3;-366
24771;90;3;-400
24780;83;3;-400
24786;78;3;-433
24792;73;3;-433
24798;67;4;-675
24804;61;4;-700
24807;59;2;-700
24813;53;2;-700
24819;48;3;-500
24825;43;3;-466
24831;38;4;-550
24837;33;2;-750
24843;27;3;-766
24849;20;3;-800
24858;12;3;-800
24864;7;2;-800
24870;1;3;-533
24876;-5;3;-766
24882;-11;3;-766
24888;-17;2;-800
24894;-23;3;-533
24897;-25;2;-750
24903;-30;3;-766
24909;-36;3;-733
24915;-41;2;-750
24921;-47;3;-500
24927;-53;3;-700
24933;-58;3;-466
24939;-63;3;-466
24945;-67;4;-525
24951;-72;3;-666
24957;-77;2;-650
24963;-82;3;-633
24969;-87;2;-650
24975;-92;3;-400
24981;-95;3;-366
24987;-99;3;-366
24993;-103;3;-366
24999;-108;3;-333
25005;-112;3;-333
25011;-116;3;-333
25017;-119;4;-225
25029;-123;2;-200
25035;-126;2;-200
25041;-129;2;-250
25047;-131;4;-200
25053;-135;1;-400
25062;-137;2;-200
25065;-138;2;-200
25077;-140;6;-66
25083;-141;3;-100
25089;-143;3;-100
25095;-144;6;-50
25101;-145;3;-133
25107;-145;3;-133
