tiempo;error;integral;derivada;setPoint
23136;-3;-1499;0;1020;
23142;-3;-1499;0;1020;
23148;-3;-1499;0;1020;
23154;-3;-1499;0;1020;
23160;-3;-1499;0;1020;
23166;-3;-1499;0;1020;
23172;-3;-1499;0;1020;
23178;-3;-1499;0;1020;
23184;-3;-1499;0;1020;
23190;-3;-1499;0;1020;
23196;-3;-1499;0;1020;
23202;-3;-1499;0;1020;
23208;-3;-1499;0;1020;
23214;-3;-1499;0;1020;
23220;-3;-1499;0;1020;
23226;-3;-1499;0;1020;
23232;-3;-1499;0;1020;
23238;-3;-1499;0;1020;
23244;-3;-1499;0;1020;
23250;-3;-1499;0;1020;
23256;-3;-1499;0;1020;
23262;-3;-1499;0;1020;
23268;-3;-1499;0;1020;
23274;-3;-1499;0;1020;
23280;-3;-1499;0;1020;
23286;-3;-1499;0;1020;
23292;-3;-1499;0;1020;
23298;-3;-1499;0;1020;
23304;-3;-1499;0;1020;
23310;-3;-1499;0;1020;
23316;-3;-1499;0;1020;
23322;-3;-1499;0;1020;
23328;-3;-1499;0;1020;
23334;-3;-1499;0;1020;
23340;-3;-1499;0;1020;
23346;-3;-1499;0;1020;
23352;-3;-1499;0;1020;
23358;-3;-1499;0;1020;
23367;-3;-1499;0;1020;
23373;-3;-1499;0;1020;
23379;-3;-1499;0;1020;
23385;-3;-1499;0;1020;
23391;-3;-1499;0;1020;
23397;-3;-1499;0;1020;
23403;-3;-1499;0;1020;
23409;-3;-1499;0;1020;
23415;-3;-1499;0;1020;
23421;-3;-1499;0;1020;
23427;-3;-1499;0;1020;
23433;-3;-1499;0;1020;
23439;-3;-1499;0;1020;
23445;-3;-1499;0;1020;
23451;-3;-1499;0;1020;
23457;-3;-1499;0;1020;
23463;-3;-1499;0;1020;
23469;-3;-1499;0;1020;
23475;-3;-1499;0;1020;
23481;-3;-1499;0;1020;
23490;-3;-1499;0;1020;
23496;-3;-1499;0;1020;
23502;-3;-1499;0;1020;
23508;-3;-1499;0;1020;
23514;-3;-1499;0;1020;
23520;-3;-1499;0;1020;
23526;-3;-1499;0;1020;
23532;-3;-1499;0;1020;
23538;-3;-1499;0;1020;
23544;-3;-1499;0;1020;
