 T0001282222 A-00033 V+03240 d03240 
 T0001286795 A-00032 V+04573 d04573 
 T0001287273 A-00031 V+00478 d00478 
 T0001288114 A-00030 V+00841 d00841 
 T0001288434 A-00029 V+00320 d00320 
 T0001289286 A-00028 V+00852 d00852 
 T0001290205 A-00027 V+00919 d00919 
 T0001292546 A-00025 V+00684 d00684 
 T0001294355 A-00022 V+00677 d00677 
 T0001295752 A-00019 V+00611 d00611 
 T0001297779 A-00016 V+00727 d00727 
 T0001299391 A-00014 V+00949 d00949 
 T0001301366 A-00010 V+00675 d00675 
 T0001303537 A-00006 V+00831 d00831 
 T0001305035 A-00003 V+00496 d00496 
 T0001307007 A+00000 V+00710 d00710 
 T0001308847 A+00003 V+00574 d00574 
 T0001311160 A+00006 V+01171 d01171 
 T0001312832 A+00008 V+01024 d01024 
 T0001314652 A+00010 V+01276 d01276 
 T0001316254 A+00012 V+01065 d01065 
 T0001317378 A+00013 V+01124 d01124 
T0001319965 A+00014 V+02587 d02587 
 T0001322307 A+00015 V+02342 d02342 
 T0001326730 A+00014 V-04423 d04423 
 T0001329229 A+00013 V-02499 d02499 
 T0001330857 A+00012 V-01628 d01628 
 T0001331472 A+00011 V-00615 d00615 
 T0001332085 A+00010 V-00613 d00613 
 T0001332581 A+00009 V-00496 d00496 
 T0001333954 A+00008 V-01373 d01373 
 T0001336176 A+00006 V-01156 d01156 
 T0001337425 A+00004 V-00815 d00815 
 T0001340222 A+00000 V-01233 d01233 
 T0001341786 A-00002 V-00985 d00985 
 T0001343117 A-00004 V-00952 d00952 
 T0001345351 A-00008 V-00834 d00834 
 T0001346534 A-00010 V-00769 d00769 
 T0001348745 A-00013 V-00738 d00738 
 T0001350973 A-00016 V-01081 d01081 
 T0001352279 A-00018 V-00699 d00699 
 T0001353731 A-00020 V-01004 d01004 
 T0001355677 A-00022 V-01190 d01190 
